Name,Type,Score
amd ryzen 7 4700u,laptop,0.14169923580052918
samsung sm-f946b,android,0.14152463838188484
samsung sm-f731b,android,0.14146420081389258
samsung galaxy s23 ultra,android,0.1406650818593282
nubia nx729j,android,0.14035617873403441
samsung sm-f946u,android,0.13965107377412467
amd ryzen 5 4600h,laptop,0.13949662221147777
apple iphone 13,ios,0.1389996910968747
xiaomi 22127rk46c,android,0.13809312757699074
oneplus cph2551,android,0.1373343003344212
oneplus cph2449,android,0.1369313832144728
samsung sm-s916w,android,0.1365486119505218
samsung sm-f946u1,android,0.13640759095853983
apple ipad mini 6 (wifi),ios,0.13611883368924346
samsung sm-s916u1,android,0.13565547900130276
apple ipad mini 6 (cellular),ios,0.13543387458533113
oneplus cph2451,android,0.13491679761473066
oneplus cph2447,android,0.1339027895295271
intel core i5-9600k @ 3.70ghz,desktop,0.1338557825321998
xiaomi 2211133g,android,0.13319768456961736
amd ryzen 3 3100,desktop,0.13283505916166377
apple ipad 10 (cellular),ios,0.13264031588702205
"apple ipad pro 11.0 (wifi, 6gb ram)",ios,0.13209637777509167
intel core i7-1185g7 @ 3.00ghz,laptop,0.13202250963643444
asus asus_ai2205_d,android,0.13165988422848088
"apple ipad pro 11.0 (cellular, 6gb ram)",ios,0.13129054353519481
intel core i7-1165g7 @ 2.80ghz,laptop,0.13094134869790616
amd ryzen 5 5500u,laptop,0.13089434170057887
intel core i7-8850h @ 2.60ghz,laptop,0.13041084115664076
apple iphone 13 mini,ios,0.1297594584793908
"apple ipad pro 12.9 3nd gen (cellular, 6gb ram)",ios,0.1292423815087903
honor pgt-n19,android,0.1291685133701331
apple ipad pro 12.9 3nd gen (cellular),ios,0.12843654726889345
apple ipad 10 (wifi),ios,0.12836939441556872
google pixel 8 pro,android,0.12743596975435487
apple ipad pro 11.0 2nd gen (cellular),ios,0.12708005963173374
apple ipad pro 11.0 (cellular),ios,0.12705319849040386
apple ipad air 4 (wifi),ios,0.12705319849040386
intel core i5-8600k @ 3.60ghz,desktop,0.1270464832050714
apple ipad pro 12.9 4th gen (wifi),ios,0.12665028137045542
motorola edge 40 pro,android,0.12659655908779563
apple ipad pro 12.9 4th gen (cellular),ios,0.12632794767449668
apple ipad pro 11.0 (wifi),ios,0.12628094067716938
apple ipad pro 11.0 2nd gen (wifi),ios,0.12624064896517453
apple ipad air 4 (cellular),ios,0.1259183152692158
xiaomi 2210132g,android,0.1258108707038962
motorola edge plus 2023,android,0.12562955799991943
apple ipad pro 12.9 3nd gen (wifi),ios,0.12403132009079065
google pixel 8,android,0.12334636098687833
intel core i7-8750h @ 2.20ghz,laptop,0.12299716614958969
oppo find x2,android,0.12198987334971863
apple iphone 12 pro max,ios,0.12135192124313363
intel core i5-1145g7 @ 2.60ghz,laptop,0.12092885826718777
samsung sm-s908n,android,0.12084827484319809
intel core i7-7700k @ 4.20ghz,desktop,0.12072068442188108
intel core i5-1135g7 @ 2.40ghz,laptop,0.12023718387794298
apple iphone 12,ios,0.11991485018198424
apple iphone 12 pro,ios,0.11916945351007964
amd ryzen 5 4500u,laptop,0.1186188001128168
xiaomi 23046rp50c,android,0.11861208482748432
nubia nx709s,android,0.11831661227285548
samsung sm-f721u1,android,0.11830318170219052
intel core i5-9400f @ 2.90ghz,desktop,0.11707428448634782
samsung sm-f936b,android,0.11598640826248707
intel core i5-9400 @ 2.90ghz,desktop,0.11576480384651544
intel core i5-8500 @ 3.00ghz,desktop,0.11566407456652833
nothing a065,android,0.11484480975596653
intel core i5-8400 @ 2.80ghz,desktop,0.11443517735068563
samsung sm-f936u,android,0.11411955894005936
asus rog phone 6d ultimate,android,0.11385094752676041
asus asus_ai2202,android,0.11333387055615993
intel core i7-4790k @ 4.00ghz,desktop,0.11300482157486871
samsung sm-f721b,android,0.11278321715889708
intel core i7-6700k @ 4.00ghz,desktop,0.11263548088158266
apple iphone 12 mini,ios,0.11253475160159555
xiaomi 2203121c,android,0.11245416817760587
asus asus_ai2201_f,android,0.11094322897779926
samsung sm-f721u,android,0.11086264555380958
motorola edge plus 5g uw (2022),android,0.1099627973192581
intel core i7-7700 @ 3.60ghz,desktop,0.10939871335133029
vivo i2217,android,0.10930469935667567
google pixel 7 pro,android,0.1082974065568046
motorola edge 30 ultra,android,0.10817653142082007
google pixel fold,android,0.10769974616221444
motorola thinkphone by motorola,android,0.10763930859422217
asus moto e32(s),android,0.10758558631156238
samsung sm-s711u,android,0.10696106477564232
xiaomi 23049pcd8i,android,0.10685362021032274
asus asus_ai2201_c,android,0.10677975207166553
xiaomi 23013pc75g,android,0.10669245336234337
intel core i5-10300h @ 2.50ghz,desktop,0.10665216165034852
apple ipad 9 (cellular),ios,0.10653800179969647
nothing ain065,android,0.10596048726110373
google pixel 7,android,0.10590004969311147
oneplus cph2415,android,0.1057858898424594
samsung sm-f936u1,android,0.10556428542648777
google pixel tablet,android,0.10532253515451871
lenovo l71061,android,0.10512779187987698
oneplus cph2417,android,0.10486589575191049
xiaomi 23049pcd8g,android,0.10485918046657802
nubia nx679j,android,0.1047383053305935
realme rmx3300,android,0.10408692265334354
intel core i7-6700 @ 3.40ghz,desktop,0.10357656096807553
google pixel 7a,android,0.10350269282941832
samsung sm-x808u,android,0.10309306042413742
intel core i7-4790 @ 3.60ghz,desktop,0.10259612930953436
sony xq-ct54,android,0.10246182360288489
xiaomi 23078pnd5g,android,0.10232751789623541
apple ipad 9 (wifi),ios,0.10229394146957305
asus asus_ai2201_d,android,0.10224021918691326
intel core i3-10100f @ 3.60ghz,desktop,0.10223350390158077
intel core i3-10100 @ 3.60ghz,desktop,0.10198503834427924
oneplus ne2210,android,0.10192460077628698
samsung sm-x906b,android,0.10189102434962462
sony xq-ct72,android,0.10179029506963751
motorola edge 30 pro,android,0.10169628107498288
motorola edge plus (2022),android,0.10139409323502156
samsung sm-x900,android,0.10134708623769424
xiaomi 23049rad8c,android,0.10121278053104477
google pixel 6,android,0.10059497428045718
samsung sm-s906u,android,0.10056811313912728
samsung sm-x800,android,0.10053453671246491
samsung sm-s906u1,android,0.10051439085646749
intel core i7-4770 @ 3.40ghz,desktop,0.10035993929382059
intel core i7-1065g7 @ 1.30ghz,laptop,0.10029278644049586
intel core i7-4770k @ 3.50ghz,desktop,0.10029278644049586
google pixel 6a,android,0.09983614703788764
samsung sm-x700,android,0.09980257061122527
oppo cph2305,android,0.09972870247256806
samsung sm-s908e,android,0.09955410505392374
samsung sm-s9010,android,0.09950038277126395
xiaomi 22081212ug,android,0.09929892421128973
samsung sm-s901e,android,0.09861396510737741
samsung sm-s908w,android,0.0982311938434264
oneplus ne2213,android,0.09798944357145735
intel core i5-9300h @ 2.40ghz,laptop,0.0978752837208053
xiaomi 2311drk48g,android,0.09777455444081819
samsung sm-s908u1,android,0.0976201028781713
amd fx-8350 eight-core,desktop,0.09756638059551151
oppo cph2357,android,0.09737163732086976
oneplus ne2217,android,0.09726419275555018
samsung sm-s9080,android,0.09699558134225124
huawei noh-nx9,android,0.09692171320359402
sony xq-bq42,android,0.09690828263292907
oppo cph2437,android,0.0966732476462925
samsung sm-s901w,android,0.09665981707562754
vivo i2214,android,0.09643149737432344
google pixel 6 pro,android,0.09635091395033375
intel core i5-8300h @ 2.30ghz,laptop,0.09616960124635696
samsung sm-s906e,android,0.09611587896369717
samsung sm-s908u,android,0.09598157325704769
oneplus ne2215,android,0.09588755926239306
samsung sm-s711b,android,0.09565252427575648
samsung sm-s906w,android,0.09563237841975905
sony so-51b,android,0.09561223256376164
oneplus cph2419,android,0.09540405871845495
xiaomi 2306epn60g,android,0.09539734343312248
sony sog03,android,0.09537719757712505
xiaomi 22041216g,android,0.09528318358247041
realme rmx3301,android,0.09516902373181836
sony xq-bq52,android,0.09479296775319983
samsung sm-s901u1,android,0.09425574492660194
oneplus ne2211,android,0.09420873792927462
apple iphone 11,ios,0.09420202264394215
realme rmx3561,android,0.09389983480398083
apple iphone se 2nd gen,ios,0.09377895966799629
xiaomi 21121210g,android,0.09365136924667929
samsung sm-s908b,android,0.09360436224935198
nubia nx666j,android,0.09350363296936487
samsung sm-s901b,android,0.09339618840404529
samsung sm-x706b,android,0.09320816041473602
honor lge-nx9,android,0.09312086170541387
samsung sm-s901u,android,0.09302684771075923
samsung sm-x806b,android,0.09274480572679533
microsoft surface duo 2,android,0.09260378473481339
sony xq-bc62,android,0.09257020830815102
asus asus_i004d,android,0.09232174275084948
samsung sm-g996w,android,0.09224787461219228
sony xq-be42,android,0.0919859784842258
