Country,Rank,Fixed downlink,Fixed uplink,Fixed latency,Fixed jitter,Mobile downlink,Mobile uplink,Mobile latency,Mobile jitter
Mongolia,83,68.6,45.74,4.0,1.0,14.14,7.01,23.0,8.0
Nepal,84,67.17,56.22,5.0,2.0,13.97,9.29,22.0,8.0
Palestine,85,66.76,60.84,5.0,2.0,,,,
Egypt,86,65.54,8.83,7.0,0.0,26.41,6.21,30.0,11.0
Belarus,87,64.6,51.39,5.0,2.0,11.59,6.64,28.0,11.0
Saint Kitts and Nevis,88,63.28,26.21,6.0,3.0,,,,
Mexico,89,63.02,31.2,6.0,3.0,27.17,10.85,38.0,9.0
Uzbekistan,90,62.75,59.67,10.0,2.0,28.25,11.79,24.0,9.0
Oman,91,62.51,30.69,11.0,4.0,77.85,13.38,23.0,6.0
India,92,61.84,54.19,6.0,2.0,105.85,9.08,29.0,9.0
Albania,93,61.29,28.91,6.0,3.0,50.55,13.15,19.0,7.0
Australia,94,60.16,18.47,10.0,2.0,89.66,8.83,22.0,6.0
Kyrgyzstan,95,57.06,55.02,3.0,1.0,29.92,12.08,23.0,9.0
Armenia,96,52.76,50.37,4.0,2.0,29.07,12.68,19.0,8.0
Nicaragua,97,52.7,19.63,10.0,3.0,15.65,10.27,24.0,9.0
Kazakhstan,98,52.17,50.95,4.0,2.0,38.04,13.66,21.0,11.0
Mauritius,99,51.77,18.81,4.0,1.0,57.52,17.8,17.0,7.0
El Salvador,100,51.15,15.64,11.0,4.0,29.67,10.19,21.0,8.0
Guatemala,101,50.84,16.05,11.0,5.0,32.01,17.31,20.0,7.0
Greece,102,49.94,9.44,11.0,3.0,79.28,14.04,22.0,8.0
South Africa,103,48.33,42.28,7.0,4.0,50.03,8.36,24.0,9.0
Venezuela,104,47.4,44.15,9.0,6.0,10.88,6.15,37.0,12.0
Belize,105,46.74,34.73,5.0,3.0,11.5,8.2,23.0,11.0
Honduras,106,45.74,9.74,14.0,5.0,28.61,13.08,41.0,8.0
Cambodia,107,44.4,45.39,5.0,2.0,25.53,10.55,23.0,12.0
Bangladesh,108,44.25,43.61,5.0,2.0,24.59,11.53,26.0,8.0
Gabon,109,43.85,10.6,6.0,4.0,,,,
Turkey,110,43.1,13.21,8.0,2.0,37.45,14.26,23.0,6.0
Ghana,111,43.01,33.21,7.0,4.0,19.76,13.48,27.0,11.0
Burkina Faso,112,42.82,13.8,7.0,6.0,36.07,17.25,19.0,6.0
North Macedonia,113,42.59,27.07,9.0,3.0,89.96,26.66,19.0,5.0
Congo,114,42.36,14.3,8.0,5.0,,,,
DR Congo,115,41.76,9.96,8.0,10.0,18.16,8.89,27.0,13.0
Madagascar,116,41.49,43.46,5.0,4.0,15.59,6.77,32.0,12.0
Azerbaijan,117,38.32,37.69,5.0,3.0,50.12,12.77,19.0,7.0
Haiti,118,36.89,15.0,36.0,9.0,8.87,7.53,25.0,19.0
Antigua and Barbuda,119,36.85,19.84,6.0,5.0,,,,
